avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct
4.91,4.9,5,1.04,Winterfell,6/22/2014,Android,1/29/2014,5.9,7,TRUE,44.1
2.18,2.5,5,1,Winterfell,2/1/2014,iPhone,1/22/2014,0,2,TRUE,50
9.72,5,5,1,Winterfell,6/23/2014,iPhone,1/4/2014,0,2,TRUE,44.4
3.97,5,4.7,1.29,Winterfell,2/16/2014,iPhone,1/24/2014,14.3,7,FALSE,71.4
7.93,4.8,3.8,1,Winterfell,2/11/2014,iPhone,1/19/2014,0,4,FALSE,50
11.42,4.9,4.4,1.06,King's Landing,6/6/2014,iPhone,1/14/2014,11.1,4,TRUE,100
37.24,5,5,1,Winterfell,5/21/2014,iPhone,1/8/2014,0,0,TRUE,100
2,4.8,4,1.06,Winterfell,2/15/2014,iPhone,1/10/2014,25,2,FALSE,100
3.42,5,,1,Winterfell,1/29/2014,Android,1/28/2014,0,1,FALSE,100
17.95,5,4.7,1,King's Landing,6/21/2014,iPhone,1/20/2014,0,0,TRUE,88.9
5.75,5,4,1.3,Astapor,3/23/2014,Android,1/1/2014,20,0,FALSE,80
9.44,5,5,1,King's Landing,6/15/2014,iPhone,1/12/2014,0,0,FALSE,0
14.14,5,5,1,King's Landing,1/27/2014,Android,1/27/2014,0,1,FALSE,100
12.12,5,5,1,King's Landing,1/7/2014,Android,1/5/2014,0,1,FALSE,100
9.58,4,5,1,Winterfell,2/2/2014,iPhone,1/25/2014,0,1,TRUE,0
0.97,5,5,1,Astapor,1/6/2014,Android,1/3/2014,0,2,TRUE,50
7.7,4.8,5,1,Astapor,6/23/2014,iPhone,1/10/2014,0,2,FALSE,50
2.26,4.7,5,1,King's Landing,1/4/2014,iPhone,1/2/2014,0,3,TRUE,100
2.03,4.9,4.3,1.22,Winterfell,5/22/2014,iPhone,1/2/2014,33.3,1,TRUE,93.3
1.24,5,5,1,Astapor,2/22/2014,iPhone,1/27/2014,0,1,FALSE,0
4.69,5,2,1.13,King's Landing,6/12/2014,iPhone,1/27/2014,50,0,TRUE,50
3.27,4.2,4.6,1,Winterfell,6/29/2014,iPhone,1/4/2014,0,3,TRUE,16.7
6.01,4.8,5,1,Astapor,5/29/2014,Android,1/14/2014,0,0,FALSE,100
2.45,4.8,5,1.19,Astapor,5/18/2014,iPhone,1/17/2014,25,3,FALSE,50
2.61,4.8,3.7,1.13,Winterfell,7/1/2014,iPhone,1/6/2014,9.5,7,FALSE,71.4
8.81,5,5,1,Winterfell,6/23/2014,iPhone,1/11/2014,0,1,FALSE,33.3
2.6,4.7,5,1.19,Winterfell,6/30/2014,iPhone,1/3/2014,20.9,9,TRUE,60.5
1.63,5,,1,Astapor,1/4/2014,iPhone,1/3/2014,0,1,TRUE,100
12.06,5,4,1,Astapor,2/10/2014,iPhone,1/16/2014,0,1,FALSE,100
4.16,5,4.2,1,Winterfell,6/9/2014,Android,1/3/2014,0,1,FALSE,28.6
28.55,5,3,1,Winterfell,5/13/2014,iPhone,1/28/2014,0,0,TRUE,100
3.97,4.9,5,1.05,Winterfell,6/26/2014,iPhone,1/12/2014,9.1,2,FALSE,63.6
14.36,5,5,1,Winterfell,1/20/2014,Android,1/17/2014,0,2,FALSE,100
2.79,5,5,1,King's Landing,1/2/2014,iPhone,1/1/2014,0,2,FALSE,100
2.7,5,4.7,1,Winterfell,3/19/2014,Android,1/12/2014,0,3,FALSE,100
2.98,4.6,5,1.55,Astapor,3/15/2014,Android,1/19/2014,20,3,FALSE,20
2.84,5,5,1,Winterfell,5/4/2014,Android,1/6/2014,0,0,FALSE,0
7.39,5,5,2,Winterfell,6/29/2014,iPhone,1/16/2014,100,0,FALSE,0
15.22,5,5,1,King's Landing,6/9/2014,iPhone,1/23/2014,0,1,TRUE,100
1.38,5,1,1.5,Astapor,5/17/2014,Android,1/25/2014,100,0,FALSE,0
3.92,5,4,1.17,Astapor,6/21/2014,iPhone,1/4/2014,16.7,1,TRUE,83.3
9.33,5,4,1,Winterfell,1/12/2014,Android,1/11/2014,0,1,FALSE,0
3.64,5,4.4,1.21,King's Landing,6/21/2014,iPhone,1/26/2014,16.7,1,FALSE,83.3
9.41,5,4,1.13,Winterfell,2/9/2014,iPhone,1/15/2014,50,2,FALSE,50
4.45,4.6,4.5,1.05,King's Landing,6/10/2014,iPhone,1/13/2014,20,0,FALSE,100
2.4,4.9,4.2,1,Astapor,6/28/2014,iPhone,1/23/2014,0,12,TRUE,74.2
2.28,4,4,1,Astapor,2/9/2014,iPhone,1/29/2014,0,1,FALSE,0
1.46,5,5,1.06,King's Landing,6/17/2014,iPhone,1/11/2014,25,3,FALSE,100
13.57,5,5,1,King's Landing,3/13/2014,iPhone,1/19/2014,0,0,FALSE,100
4.34,4.7,4.8,1.04,King's Landing,6/3/2014,iPhone,1/19/2014,3.8,2,FALSE,50
2.7,4.8,4,1,Winterfell,5/24/2014,iPhone,1/1/2014,0,0,TRUE,50
3.7,4.7,4.9,1.07,Winterfell,6/23/2014,iPhone,1/17/2014,9.7,1,TRUE,51.6
1.12,4.5,4,1,King's Landing,6/27/2014,iPhone,1/9/2014,0,0,TRUE,100
3.65,4.7,4.7,1.07,Winterfell,6/23/2014,iPhone,1/1/2014,7.5,6,TRUE,80
2.68,4.4,5,1.08,Winterfell,5/23/2014,iPhone,1/17/2014,21.4,15,TRUE,46.4
2.29,4.6,3.8,1.03,Astapor,6/8/2014,iPhone,1/24/2014,3,18,TRUE,83.6
4.28,5,5,1,Astapor,5/11/2014,iPhone,1/30/2014,0,1,TRUE,60
2.73,4.8,4.8,1.55,King's Landing,6/21/2014,iPhone,1/17/2014,60,3,FALSE,20
4.26,4,4,1,Astapor,1/4/2014,iPhone,1/3/2014,0,1,TRUE,100
6.58,5,5,1,King's Landing,6/10/2014,Android,1/21/2014,0,0,TRUE,100
5.66,5,,1,Winterfell,1/21/2014,iPhone,1/21/2014,0,1,TRUE,100
4.38,4.5,4.6,1.08,Winterfell,6/21/2014,iPhone,1/6/2014,12.5,5,TRUE,68.8
2.15,4.3,5,1,Astapor,1/19/2014,iPhone,1/17/2014,0,4,FALSE,25
4.05,4.4,3.7,1,King's Landing,5/18/2014,Android,1/26/2014,0,0,FALSE,85.7
3.77,5,1,1,Astapor,2/28/2014,iPhone,1/22/2014,0,1,TRUE,100
2.58,4.5,4.5,1.11,Astapor,5/18/2014,Android,1/18/2014,18.2,4,TRUE,27.3
2.31,5,,1,Winterfell,6/1/2014,iPhone,1/9/2014,0,0,FALSE,0
5.49,5,4,1,Winterfell,1/31/2014,iPhone,1/27/2014,0,3,TRUE,100
20.79,5,5,1,King's Landing,1/26/2014,iPhone,1/8/2014,0,2,TRUE,0
6.76,2,,1,Winterfell,6/24/2014,iPhone,1/16/2014,0,0,FALSE,100
3.2,4.5,,1,King's Landing,6/13/2014,iPhone,1/16/2014,0,2,FALSE,50
3.98,5,5,1,King's Landing,5/6/2014,iPhone,1/25/2014,0,0,FALSE,60
7.43,5,,1,King's Landing,6/13/2014,iPhone,1/31/2014,0,3,FALSE,50
6.21,5,4,1,King's Landing,2/15/2014,Android,1/21/2014,0,1,FALSE,100
3.7,4.8,4.9,1,King's Landing,6/29/2014,Android,1/18/2014,0.8,8,TRUE,67.5
1.71,5,5,1,Astapor,1/21/2014,iPhone,1/20/2014,0,1,FALSE,100
0.89,5,,1.5,Astapor,3/27/2014,Android,1/31/2014,100,0,FALSE,100
3.92,5,,1,Winterfell,2/16/2014,iPhone,1/9/2014,0,0,FALSE,0
3.28,5,5,2,Astapor,2/2/2014,Android,1/31/2014,50,2,FALSE,50
3.17,5,,1,Astapor,1/30/2014,iPhone,1/29/2014,0,1,FALSE,100
4.07,5,5,1,Astapor,1/23/2014,iPhone,1/22/2014,0,3,TRUE,100
1.35,5,4,1,Astapor,2/28/2014,iPhone,1/11/2014,0,0,TRUE,100
3.36,4.1,4.7,1,Winterfell,6/30/2014,iPhone,1/18/2014,0,5,TRUE,37.5
5.31,5,,1,Astapor,4/13/2014,Android,1/19/2014,0,0,FALSE,0
2.7,5,5,1,Astapor,3/9/2014,Android,1/25/2014,0,2,FALSE,0
5.9,5,4,1.01,Astapor,6/29/2014,iPhone,1/25/2014,5,4,TRUE,15
5.94,4.7,4.9,1.02,Astapor,6/15/2014,Android,1/25/2014,10,0,FALSE,40
11.07,4.9,4.7,1,King's Landing,6/13/2014,iPhone,1/31/2014,0,2,TRUE,90.9
5.17,4.7,4.8,1.25,Winterfell,6/21/2014,iPhone,1/17/2014,28.6,5,FALSE,28.6
2.73,3.7,4.7,1,Astapor,1/6/2014,iPhone,1/1/2014,0,3,TRUE,33.3
3.57,4.9,4.3,1,Winterfell,5/23/2014,Android,1/30/2014,0,7,TRUE,81.8
3.09,5,5,1,Winterfell,5/11/2014,iPhone,1/19/2014,0,0,FALSE,0
2.87,,5,1,King's Landing,6/8/2014,iPhone,1/7/2014,0,1,TRUE,0
2.26,5,3.3,1,King's Landing,6/22/2014,iPhone,1/25/2014,0,1,FALSE,90
2.22,4.6,5,1,Astapor,6/14/2014,iPhone,1/25/2014,0,2,FALSE,75
1.99,5,5,1.06,Astapor,3/22/2014,iPhone,1/23/2014,25,2,TRUE,100
2.3,4.9,,1,Astapor,6/23/2014,Android,1/1/2014,0,0,FALSE,100
2.93,4.7,4.2,1.09,Winterfell,5/11/2014,iPhone,1/20/2014,9.1,2,FALSE,72.7
14.77,5,5,1,King's Landing,6/5/2014,iPhone,1/31/2014,0,0,FALSE,80
2.13,5,5,1.25,Astapor,4/6/2014,iPhone,1/31/2014,33.3,0,TRUE,33.3
13.48,5,5,1,King's Landing,6/4/2014,iPhone,1/29/2014,0,1,FALSE,100
2.3,5,,1,Winterfell,6/1/2014,iPhone,1/28/2014,0,1,FALSE,75
1.6,5,,1,Astapor,6/10/2014,iPhone,1/11/2014,0,0,TRUE,100
7.08,4.8,5,1,King's Landing,6/22/2014,iPhone,1/18/2014,0,2,FALSE,16.7
1.56,4.5,3.9,1.15,Astapor,4/23/2014,Android,1/23/2014,20,4,TRUE,20
1.53,4.8,4.5,1,Astapor,2/16/2014,iPhone,1/21/2014,0,4,FALSE,0
1.85,5,,1,Astapor,3/16/2014,Android,1/17/2014,0,0,FALSE,0
0.53,5,4.7,1,Winterfell,1/9/2014,iPhone,1/4/2014,0,3,FALSE,100
25.8,5,5,1,King's Landing,1/18/2014,iPhone,1/9/2014,0,1,FALSE,100
4.61,5,5,1.2,Winterfell,3/22/2014,iPhone,1/1/2014,27.3,9,FALSE,54.5
13.08,5,,1,King's Landing,6/29/2014,Android,1/18/2014,0,2,FALSE,0
2.52,5,5,1.38,Astapor,2/13/2014,iPhone,1/8/2014,25,0,TRUE,100
7.6,5,,1,Astapor,1/11/2014,Android,1/10/2014,0,1,TRUE,100
4.03,4.8,4.6,1.1,Winterfell,6/14/2014,iPhone,1/10/2014,11.8,8,TRUE,52.9
11.28,5,5,1,Astapor,1/20/2014,Android,1/19/2014,0,3,FALSE,0
1.17,5,5,1,Winterfell,1/14/2014,iPhone,1/10/2014,0,1,FALSE,100
9.93,5,5,1,Astapor,5/23/2014,iPhone,1/25/2014,0,0,TRUE,100
5.34,4.9,4.8,1,Winterfell,6/29/2014,iPhone,1/24/2014,0,5,FALSE,24.2
11.84,5,5,1,Winterfell,1/21/2014,iPhone,1/6/2014,0,2,TRUE,100
14.6,4,5,1,Winterfell,3/9/2014,iPhone,1/4/2014,0,0,FALSE,0
7.75,4.8,5,1,Winterfell,5/12/2014,Android,1/29/2014,0,1,TRUE,100
4.82,5,5,1.1,Astapor,4/13/2014,iPhone,1/1/2014,20,0,FALSE,0
8.89,5,,1,King's Landing,5/4/2014,Android,1/25/2014,0,1,TRUE,0
5.69,5,5,1.08,Winterfell,1/19/2014,Android,1/17/2014,33.3,3,FALSE,66.7
1.39,5,,1,King's Landing,3/19/2014,iPhone,1/7/2014,0,0,TRUE,100
1.56,5,4,1,Winterfell,3/29/2014,iPhone,1/9/2014,0,1,FALSE,100
3.14,5,5,1,Astapor,5/28/2014,iPhone,1/20/2014,0,0,FALSE,100
3.91,5,4.7,1,Astapor,3/2/2014,Android,1/13/2014,0,23,TRUE,81.3
8.28,5,4.5,1.06,Astapor,6/5/2014,iPhone,1/2/2014,25,1,FALSE,50
5.2,4.9,4.5,1,Winterfell,6/8/2014,iPhone,1/25/2014,0,0,FALSE,14.3
2.69,5,4.8,1.1,King's Landing,6/22/2014,Android,1/17/2014,20,0,FALSE,0
5.52,5,4,1,Astapor,5/9/2014,Android,1/26/2014,0,0,TRUE,100
2.03,5,5,1,Winterfell,2/13/2014,iPhone,1/11/2014,0,0,FALSE,100
1.59,5,,1,Winterfell,1/30/2014,iPhone,1/29/2014,0,1,FALSE,100
2.41,5,,1,Winterfell,4/13/2014,iPhone,1/4/2014,0,0,TRUE,0
5.68,5,5,1,Winterfell,1/26/2014,Android,1/4/2014,0,1,FALSE,0
2.82,4.6,4.9,1,Astapor,6/28/2014,iPhone,1/20/2014,0,7,FALSE,59.1
3.19,4.6,4.4,1,Astapor,6/30/2014,iPhone,1/31/2014,0,3,TRUE,68.4
2.42,3.7,4,1,King's Landing,6/7/2014,iPhone,1/16/2014,0,0,TRUE,0
2.11,5,5,1.38,Astapor,1/25/2014,Android,1/15/2014,50,2,FALSE,100
4.38,5,3,1.21,Astapor,3/30/2014,Android,1/12/2014,16.7,4,TRUE,33.3
7.7,5,4.5,1,Winterfell,6/18/2014,iPhone,1/3/2014,0,0,FALSE,83.3
11.54,4.5,3,1,Winterfell,6/28/2014,iPhone,1/6/2014,0,1,TRUE,22.2
3.09,4.7,4.8,1,Winterfell,6/25/2014,iPhone,1/24/2014,0,1,FALSE,100
2.86,4.7,5,1.18,Winterfell,3/16/2014,iPhone,1/3/2014,14.3,6,FALSE,57.1
1.83,4.8,5,1.15,King's Landing,6/30/2014,iPhone,1/29/2014,19.8,15,TRUE,79.3
5.09,5,3,1,Winterfell,1/26/2014,iPhone,1/18/2014,0,1,FALSE,0
15.08,5,,1,Astapor,2/4/2014,iPhone,1/29/2014,0,1,TRUE,100
4.45,4.6,4.2,1.29,King's Landing,6/29/2014,iPhone,1/1/2014,42.9,1,FALSE,0
3.51,4.9,5,1.06,Astapor,6/23/2014,iPhone,1/30/2014,22.2,2,FALSE,66.7
2.92,5,5,1,Astapor,1/11/2014,iPhone,1/11/2014,0,1,FALSE,0
2.59,4.9,5,1.1,Winterfell,6/21/2014,iPhone,1/10/2014,17.4,4,FALSE,26.1
2.09,5,5,2,King's Landing,6/28/2014,iPhone,1/1/2014,100,0,FALSE,0
1.85,5,5,2.25,Astapor,1/19/2014,iPhone,1/18/2014,100,1,FALSE,0
3.71,5,5,1,Astapor,5/5/2014,Android,1/17/2014,0,0,FALSE,100
1.41,3.5,4,1.5,Astapor,1/26/2014,iPhone,1/23/2014,50,2,FALSE,50
27.94,5,5,1,King's Landing,5/28/2014,Android,1/1/2014,0,0,FALSE,100
4.68,3.9,4.5,1.41,Astapor,3/28/2014,iPhone,1/3/2014,36.4,1,TRUE,36.4
3.61,5,5,1,King's Landing,4/23/2014,Android,1/13/2014,0,0,FALSE,100
1.13,4.7,4.4,1,Astapor,5/11/2014,iPhone,1/11/2014,0,3,TRUE,22.2
14.18,5,,1,Astapor,5/16/2014,iPhone,1/25/2014,0,0,FALSE,100
14.13,5,5,1,Astapor,1/22/2014,iPhone,1/21/2014,0,1,FALSE,100
13.03,4,5,1,Winterfell,6/1/2014,iPhone,1/26/2014,0,0,FALSE,0
3.89,4.7,4.9,1,Winterfell,6/13/2014,iPhone,1/27/2014,0,4,FALSE,61.1
2.43,5,,1,Winterfell,1/18/2014,iPhone,1/17/2014,0,1,FALSE,100
2.55,5,,1,King's Landing,6/14/2014,iPhone,1/31/2014,0,0,FALSE,25
1.83,5,,1.5,Astapor,5/2/2014,Android,1/29/2014,100,0,FALSE,100
3.31,4.9,4.6,1.11,Winterfell,6/28/2014,iPhone,1/31/2014,11.1,2,FALSE,55.6
3.55,5,4,1,Astapor,2/1/2014,Android,1/15/2014,0,2,FALSE,50
3.86,4.9,4.3,1.02,Winterfell,5/28/2014,Android,1/25/2014,8.3,3,TRUE,41.7
2.06,4.9,4.3,1.02,King's Landing,6/24/2014,iPhone,1/11/2014,8.3,5,TRUE,66.7
1.22,5,,1,Winterfell,1/16/2014,iPhone,1/15/2014,0,1,TRUE,100
6.25,5,4.7,1,Astapor,2/3/2014,Android,1/15/2014,0,4,FALSE,50
1.63,5,,1,King's Landing,5/14/2014,iPhone,1/27/2014,0,0,TRUE,100
2.84,3,,1,Winterfell,6/1/2014,iPhone,1/20/2014,0,0,FALSE,0
5.45,4.9,4.9,1.19,King's Landing,6/25/2014,iPhone,1/7/2014,28.6,18,TRUE,70.2
5.66,4,3,1,Astapor,4/2/2014,iPhone,1/4/2014,0,0,TRUE,100
8.39,5,5,1,Astapor,3/1/2014,iPhone,1/22/2014,0,1,FALSE,100
3.69,4.7,5,1,Winterfell,5/9/2014,iPhone,1/21/2014,0,1,TRUE,100
6.93,5,5,1,Astapor,5/25/2014,iPhone,1/1/2014,0,0,TRUE,0
0.64,5,,1,Winterfell,1/15/2014,Android,1/15/2014,0,1,TRUE,100
6.56,5,4.5,1,Winterfell,1/27/2014,iPhone,1/26/2014,0,2,FALSE,50
5.88,5,5,1,Winterfell,3/5/2014,iPhone,1/24/2014,0,2,FALSE,100
16.21,5,,1,Winterfell,2/2/2014,Android,1/26/2014,0,1,FALSE,0
17,5,5,1,King's Landing,6/17/2014,Android,1/4/2014,0,0,TRUE,66.7
7.19,5,,1.06,King's Landing,6/25/2014,Android,1/18/2014,25,1,FALSE,100
4.79,4.5,4.8,1,Winterfell,6/29/2014,iPhone,1/22/2014,0,0,FALSE,61.5
2.55,5,4.3,1,Winterfell,1/25/2014,iPhone,1/22/2014,0,7,FALSE,57.1
1.04,5,,1,Astapor,2/23/2014,Android,1/24/2014,0,1,FALSE,0
24.03,5,5,1,Astapor,1/25/2014,Android,1/15/2014,0,3,FALSE,100
5.06,5,5,1,Winterfell,5/16/2014,iPhone,1/27/2014,0,0,TRUE,100
2.15,5,4,1.25,Winterfell,6/19/2014,iPhone,1/27/2014,100,0,FALSE,100
0.41,5,5,1,King's Landing,6/3/2014,iPhone,1/18/2014,0,0,FALSE,100
7.54,4.6,4.1,1.16,Winterfell,6/29/2014,iPhone,1/24/2014,10.3,10,FALSE,44.8
3.72,5,,1,King's Landing,6/7/2014,iPhone,1/6/2014,0,2,FALSE,100
2.84,4,4.2,1.21,Astapor,2/17/2014,iPhone,1/31/2014,28.6,7,FALSE,57.1
7.65,5,5,2.25,Winterfell,1/6/2014,Android,1/5/2014,100,1,FALSE,0
5.56,3.3,5,1,King's Landing,6/11/2014,Android,1/8/2014,0,1,TRUE,100
5.19,5,5,1,Astapor,5/25/2014,Android,1/1/2014,0,0,TRUE,0
6.22,4.5,5,1.02,Astapor,6/20/2014,iPhone,1/24/2014,7.7,4,TRUE,53.8
1.39,4.6,4.7,1.71,Winterfell,5/15/2014,Android,1/9/2014,28.6,3,FALSE,100
3.16,4.8,4.5,1.02,Astapor,5/15/2014,iPhone,1/31/2014,7.7,1,FALSE,69.2
4.59,5,4.8,1.13,King's Landing,6/30/2014,Android,1/18/2014,16.7,6,FALSE,0
2.26,4.3,5,1,Astapor,4/26/2014,iPhone,1/20/2014,0,2,FALSE,66.7
4.18,5,5,2,Astapor,1/20/2014,iPhone,1/19/2014,100,1,FALSE,0
11.78,,5,1,Winterfell,1/21/2014,iPhone,1/20/2014,0,1,FALSE,100
3.53,5,4.5,1,Winterfell,6/16/2014,iPhone,1/29/2014,0,0,TRUE,0
1.99,5,5,1,Astapor,1/19/2014,iPhone,1/17/2014,0,2,FALSE,0
3.78,4.9,4.6,1.09,Astapor,6/28/2014,Android,1/5/2014,16.7,1,TRUE,33.3
3.06,5,5,1.13,Winterfell,6/15/2014,iPhone,1/6/2014,16.7,2,FALSE,16.7
2.44,5,5,1,Winterfell,5/21/2014,iPhone,1/25/2014,0,0,FALSE,100
7.33,4.7,4.2,1.05,Astapor,6/28/2014,iPhone,1/11/2014,18.2,2,TRUE,63.6
2.09,5,5,1,Astapor,3/30/2014,Android,1/26/2014,0,0,TRUE,66.7
3.03,5,4.7,1.16,King's Landing,6/7/2014,iPhone,1/23/2014,12.5,1,TRUE,75
13.16,4,,1,Winterfell,2/7/2014,Android,1/30/2014,0,1,FALSE,100
9.9,4.3,4,1.17,Winterfell,2/16/2014,iPhone,1/4/2014,66.7,0,FALSE,33.3
4.86,5,4.6,1.25,Astapor,3/15/2014,Android,1/14/2014,20,2,FALSE,100
3.29,5,4,1,Winterfell,6/27/2014,iPhone,1/1/2014,0,1,TRUE,100
3.34,4.8,5,1.05,King's Landing,6/25/2014,Android,1/9/2014,5.3,7,TRUE,57.3
4.19,4.7,4.2,1.04,King's Landing,5/31/2014,Android,1/30/2014,5.6,1,FALSE,55.6
14.57,5,5,1.25,Astapor,4/4/2014,Android,1/20/2014,100,0,FALSE,100
2.09,4.5,4.8,1,Winterfell,6/23/2014,iPhone,1/5/2014,0,0,FALSE,80
6.1,5,,1,Winterfell,3/15/2014,iPhone,1/3/2014,0,0,FALSE,0
3.45,5,,1,Winterfell,6/8/2014,Android,1/26/2014,0,1,FALSE,33.3
6.3,5,5,1,King's Landing,6/19/2014,iPhone,1/15/2014,0,0,FALSE,100
3.59,4.8,4.4,1.01,Winterfell,6/27/2014,iPhone,1/21/2014,4.8,9,TRUE,76.2
2.3,5,5,1,Winterfell,5/4/2014,iPhone,1/19/2014,0,0,FALSE,0
2.22,5,5,1,King's Landing,6/24/2014,iPhone,1/17/2014,0,1,FALSE,100
2.7,4.9,4,1,Winterfell,6/26/2014,iPhone,1/8/2014,0,2,FALSE,88.2
5.7,5,5,1.03,Winterfell,5/7/2014,Android,1/12/2014,11.1,0,FALSE,55.6
8.96,4.7,5,1,King's Landing,6/6/2014,iPhone,1/15/2014,0,0,TRUE,100
3,4.8,4.8,1.04,Astapor,5/31/2014,iPhone,1/19/2014,8.3,1,TRUE,70.8
2.21,3.5,5,1,Winterfell,4/6/2014,iPhone,1/15/2014,0,0,FALSE,0
4.56,5,4,1,Winterfell,5/3/2014,iPhone,1/25/2014,0,0,FALSE,0
6.4,4.9,4.6,1.11,Astapor,5/8/2014,iPhone,1/23/2014,14.3,4,FALSE,42.9
5.49,5,5,1,Astapor,1/9/2014,Android,1/7/2014,0,2,TRUE,100
11.76,5,,2.5,Astapor,1/15/2014,iPhone,1/15/2014,100,1,FALSE,100
2.69,5,4.7,1,Winterfell,3/6/2014,iPhone,1/31/2014,0,1,FALSE,100
4.38,4.7,4.6,1.06,Astapor,4/13/2014,iPhone,1/8/2014,12.5,1,FALSE,62.5
6.83,4.5,5,1,Winterfell,5/15/2014,iPhone,1/26/2014,0,0,FALSE,100
2.75,3.8,2,1.25,Winterfell,6/20/2014,iPhone,1/30/2014,25,3,FALSE,100
11.1,4.8,3,1,Winterfell,6/15/2014,iPhone,1/25/2014,0,2,FALSE,80
3.26,5,5,1,Astapor,5/16/2014,Android,1/25/2014,0,0,TRUE,100
6.48,4.9,4.6,1,Winterfell,2/7/2014,Android,1/26/2014,0,8,TRUE,87.5
11.26,4.8,5,1,Astapor,6/16/2014,iPhone,1/18/2014,0,0,TRUE,50
4.13,3.7,4,1.17,Winterfell,2/12/2014,iPhone,1/9/2014,33.3,2,TRUE,100
17.68,5,5,1,Astapor,2/16/2014,iPhone,1/16/2014,0,0,FALSE,0
4.53,5,,1,Astapor,1/23/2014,iPhone,1/23/2014,0,1,FALSE,100
3.02,5,4,1,Astapor,1/11/2014,Android,1/11/2014,0,1,TRUE,0
9.49,5,5,1,King's Landing,6/25/2014,Android,1/8/2014,0,2,TRUE,100
13.71,5,5,1,King's Landing,6/10/2014,Android,1/25/2014,0,0,TRUE,100
1.27,5,,3,Astapor,2/16/2014,iPhone,1/24/2014,100,1,FALSE,0
10.55,4.8,4.3,1,Winterfell,6/20/2014,Android,1/5/2014,0,0,FALSE,80
7.14,5,4.6,1,Winterfell,6/19/2014,Android,1/16/2014,0,0,TRUE,100
4.86,5,,1,Winterfell,4/10/2014,iPhone,1/1/2014,0,0,TRUE,100
3.97,5,5,1,Winterfell,5/4/2014,Android,1/31/2014,0,0,FALSE,0
4.37,4.6,4.8,1,Winterfell,6/30/2014,iPhone,1/26/2014,0,25,FALSE,71
2.07,5,5,1,King's Landing,1/26/2014,Android,1/25/2014,0,1,TRUE,0
1.92,5,,1,Winterfell,1/26/2014,iPhone,1/25/2014,0,1,FALSE,0
3.53,5,5,1.25,Winterfell,4/19/2014,iPhone,1/19/2014,25,3,TRUE,0
2.01,5,,1,Winterfell,6/4/2014,iPhone,1/17/2014,0,0,TRUE,100
2.48,4.5,5,1,Winterfell,1/8/2014,iPhone,1/6/2014,0,4,FALSE,100
16.25,5,,1,Astapor,6/15/2014,Android,1/7/2014,0,0,FALSE,0
2.03,5,5,1,Winterfell,5/8/2014,Android,1/8/2014,0,0,FALSE,100
2.45,4,5,1,Winterfell,6/30/2014,Android,1/19/2014,0,0,FALSE,0
2.91,4.6,4.7,1,Winterfell,6/29/2014,iPhone,1/6/2014,0,3,FALSE,44.4
4.39,4.8,4.5,1,King's Landing,6/22/2014,iPhone,1/23/2014,0,0,TRUE,66.7
10.2,5,1,1,Winterfell,1/25/2014,iPhone,1/24/2014,0,1,TRUE,0
5.64,5,5,1,Astapor,4/16/2014,,1/27/2014,0,1,TRUE,100
1.92,5,,1,Winterfell,1/31/2014,Android,1/31/2014,0,1,FALSE,100
3.02,4.9,4.9,1.14,King's Landing,6/22/2014,iPhone,1/10/2014,14.3,0,FALSE,14.3
1.57,4.3,4,1,Winterfell,3/8/2014,iPhone,1/25/2014,0,3,TRUE,33.3
11.28,4.9,4.3,1,Winterfell,6/28/2014,iPhone,1/1/2014,0,1,TRUE,66.7
7.47,5,2,1,Astapor,4/20/2014,Android,1/3/2014,0,0,FALSE,0
7.48,4,,1,Astapor,1/31/2014,iPhone,1/30/2014,0,1,FALSE,100
2.17,3,4,1,Astapor,3/2/2014,iPhone,1/13/2014,0,0,FALSE,0
2.73,4.6,4.3,1.18,Astapor,5/16/2014,iPhone,1/16/2014,14.3,3,FALSE,85.7
4.61,5,5,1,Winterfell,1/25/2014,Android,1/24/2014,0,1,TRUE,0
2.65,4.5,3.6,1,Winterfell,5/24/2014,iPhone,1/28/2014,0,5,FALSE,78.6
8.58,5,4,1.25,Astapor,6/27/2014,iPhone,1/25/2014,50,0,FALSE,50
23.68,5,,1,Astapor,2/2/2014,iPhone,1/29/2014,0,1,FALSE,0
3.21,5,5,1.17,Astapor,6/18/2014,iPhone,1/7/2014,33.3,0,FALSE,100
1.18,4.3,4,1,Winterfell,5/10/2014,Android,1/31/2014,0,1,TRUE,66.7
5.77,4.6,5,1.28,Winterfell,2/1/2014,iPhone,1/3/2014,25,8,FALSE,37.5
2.91,5,,1,King's Landing,6/22/2014,Android,1/1/2014,0,0,TRUE,0
8.99,5,,1,Astapor,5/2/2014,iPhone,1/3/2014,0,0,FALSE,100
5.74,4.8,4,1.08,Astapor,6/3/2014,Android,1/7/2014,16.7,5,TRUE,72.2
6.37,5,,1,Astapor,1/5/2014,iPhone,1/4/2014,0,1,TRUE,0
3.36,4.6,4.3,1.08,Winterfell,6/22/2014,iPhone,1/27/2014,10.5,3,FALSE,47.4
1.68,5,5,1,Astapor,5/10/2014,Android,1/30/2014,0,0,TRUE,50
3.39,5,5,1,Astapor,1/18/2014,iPhone,1/17/2014,0,1,TRUE,100
